categories,productos,coto_id,name,price,unit_price
Alimentos Secos,Galletitas,136910,Galletitas Crackers CIUDAD DEL LAGO Paq 330 Grm,17.75,Precio por 1 Kilo : $53.78
Alimentos Secos,Galletitas,72201,Vainillas COTO Paq 170 Grm,14.65,Precio por 1 Kilo : $86.17
Alimentos Secos,Galletitas,72202,Vainillas COTO Paq 500 Grm,39.05,Precio por 1 Kilo : $78.10
Alimentos Secos,Galletitas,288281,Galetitas Dulces GRANIX Coco 7 Granos Granovita Paq 140 Grm,16.45,Precio por 1 Kilo : $117.50
Alimentos Secos,Galletitas,111953,Gall.Dulces Anill Dce.Lech Gold Mundo Paq 250 Grm,16.9,Precio por 1 Kilo : $67.60
Alimentos Secos,Galletitas,293046,Gall.Dulces Choco 210g TODDY Paq 210 Grm,25.69,Precio por 1 Kilo : $122.33
Alimentos Secos,Galletitas,293047,Gall.Dulces Chocolat TODDY Paq 75 Grm,14.99,Precio por 1 Kilo : $199.86
Alimentos Secos,Galletitas,291215,Gall.Dulces Polvoron TIA MARUCA Bsa 400 Grm,24.95,Precio por 1 Kilo : $62.37
Alimentos Secos,Galletitas,256005,Gall.Rellena Vainilla. TODDY Paq 115 Grm,8.8,Precio por 1 Kilo : $76.52
Alimentos Secos,Galletitas,294407,Gall.Secas Avena,27.99,Precio por 1 Kilo : $121.16
Alimentos Secos,Galletitas,249707,Galleta Arroz Integral C/Sal Dos Hermanos Bol 100 Grm,18.75,Precio por 1 Kilo : $187.50
Alimentos Secos,Galletitas,249708,Galleta Arroz Integral Dulce Dos Hermanos Bol 100 Grm.,18.75,Precio por 1 Kilo : $187.50
Alimentos Frescos,Lácteos,80988,Alim. Base Leche Descremada SERECOL Manzan Sqa 1 Ltr,41.29,Precio por 1 Litro : $41.29
Alimentos Frescos,Lácteos,243520,Alim. Base Leche Descremada SERECOL Nja  Dur Sqa 1 Ltr,41.3,Precio por 1 Litro : $41.30
Alimentos Frescos,Lácteos,268395,Alim. Base Leche Descremada SEREMIX Bana-Vainill Sch 1 Lt,29.65,Precio por 1 Litro : $29.65
Alimentos Frescos,Lácteos,268394,Alim. Base Leche Descremada SEREMIX Frutilla Sch 1 Lt,28.3,Precio por 1 Litro : $28.30
Alimentos Frescos,Lácteos,287820,Alim. Base Leche La Serenisima Lv Cafe Latte Bot 1 Ltr,34.15,Precio por 1 Litro : $34.15
Alimentos Frescos,Lácteos,287818,Alim. Base Leche La Serenisima Lv Cappuccino Light Bot 1 Ltr,34.15,Precio por 1 Litro : $34.15
Alimentos Frescos,Lácteos,287823,Alim. Base Leche La Serenisima Lv Cappuccino Light Ttb 250 C,16.35,Precio por 1 Litro : $65.40
Alimentos Frescos,Lácteos,287817,Alim. Base Leche La Serenisima Lv Sabor Cafe Latte Ttb 250 C,16.35,Precio por 1 Litro : $65.40
Alimentos Frescos,Lácteos,287819,Alim. Base Leche La Serenisima Lv Vainilla Flakes Bot 1 Ltr,34.15,Precio por 1 Litro : $34.15
Alimentos Frescos,Lácteos,287821,Alim. Base Leche La Serenisima Lv Vainilla Flakes Ttb 250 Cc,16.35,Precio por 1 Litro : $65.40
Alimentos Frescos,Lácteos,166026,Alim. Infantil A Base Leche De JUNIOR Frutilla Ttb 200 Cc,11.05,Precio por 1 Litro : $55.25
Alimentos Frescos,Lácteos,134686,Alim. Infantil Base Leche JUNIOR Frutilla Sch 1 Ltr,20.29,Precio por 1 Litro : $20.29
Alimentos Secos,Frutas Secas,33884,Avellana/Nuez/Almendra Empaque Mixto FINCA BLANCA Paq 400 Gr,59.93,Precio por 1 Kilo : $149.82
Alimentos Secos,Frutas Secas,256228,Mix Frutas Secas Fincablanca Mani-Pasas-Almendr Pou 100 Grm,42.79,Precio por 1 Kilogramo : $427.90
Alimentos Secos,Frutas Secas,164750,Nuez BLANCANUEZ Sin Cascara Bol 100 Grm,59.95,Precio por 1 Kilo : $599.50
Alimentos Secos,Frutas Secas,214228,Nuez Con Cascara BLANCANUEZ Paq 250 Grm,42.79,Precio por 1 Kilo escurrido: $171.16
Alimentos Secos,Frutas Secas,259583,Pasas De Uva LA PARMESANA Sin Semilla Bol 250 Grm,42.11,Precio por 1 Kilo : $168.44
